"PROGRAMA","DESCRICAO","TIPO"
"CREC5","Relatório Documentos","Programa"
"CPAG10","Relatório Lançamentos","Relatório"
"CPAG15","Relatório Documentos por Grupo","Programa"
"CREC8","Relatório Lançamentos","Relatório"
"CREC13","Relatório Documentos por Grupo","Programa"
"CPAG17","Livro Diário Auxiliar Fornecedores","Programa"
"CPAG19","Estatística Financeira","Programa"
"CREC15","Livro Diário Auxiliar de Clientes","Programa"
"CPAG18","Livro Diário Auxiliar de Fornecedores","Relatório"
"CPAG20","Livro Razão","Programa"
"CREC14","Relatório Documentos por Grupo","Relatório"
"CREC19","Livro Registro de Duplicatas","Programa"
"CREC18","Livro Razão","Relatório"
"CREC20","Livro Registro de Duplicatas","Relatório"
"CPAG22","Baixa Simplificada de Documentos","Programa"
"COMP6","Solicitação de Pedidos","Programa"
"CREC24","Baixa Simplificada de Documentos","Programa"
"CONT13","Contabilização","Programa"
"CREC22","Emissão de Triplicatas","Programa"
"CREC22","Emissão de Duplicatas","Programa"
"CREC22","Emissão de Bloquetos - BRADESCO","Programa"
"CREC25_BRADESCO","Bloqueto Gráfico","Relatório"
"CREC27","Configurações Cobrança Escritural","Programa"
"CREC26","Remessa Cobrança Escritural","Programa"
"LFIS11","Livro Registro de Entradas - P1","Relatório"
"LFIS8","Registro de Saídas","Programa"
"LFIS10","Livro Registro de Entradas","Programa"
"LFIS12","Livro Registro de Saídas","Programa"
"LFIS7","Registro de Entradas","Relatório"
"CPAG25","Consulta de Lançamentos - Contas a Pagar","Programa"
"CREC28","Consulta de Lançamentos - Contas a receber","Programa"
"COMP10","Solicitação de Pedidos","Relatório"
"CBAN5","Pagamentos- Brasil","Programa"
"CFAB3","Consulta Produção","Programa"
"ESTO130","Relatório Lançamentos por Produto","Relatório"
"COMP11","Responsável Técnico","Programa"
"CBAN8","Recebimentos","Programa"
"PREC10","Tipo de Eventos","Programa"
"PREC11","Eventos","Programa"
"PREC12","Eficiência","Programa"
"RECE3","Relatório Notas Fiscais","Programa"
"FATU7","Relatório Notas Fiscais","Programa"
"RECE4","Relatório de Recebimentos C/Grade","Relatório"
"FATU6","Devoluções de Empréstimo","Programa"
"FATU6","Devoluções de Venda - Estab Padrão => 13- Não Controla Rótulo","Programa"
"CBAN16","Conferência de Cheques","Programa"
"CBAN20","Conferência de Cheques","Relatório"
"CREC41","Livro Razão (Resumido)","Relatório"
"CPAG34","Livro Razão (Resumido)","Relatório"
"VEND12","Análise de Crédito de Pedidos","Programa"
"CFAB14","Apontamento de Ordens de Fabricação (Tiras Palmisurf)","Programa"
"CFAB15","Estorno Apontamento de Ordens de Fabricação","Programa"
"TERC4","Exclusão Remessa","Programa"
"TERC5","Exclusão Retorno","Programa"
"ADMI72","Regras Tributação Retenção","Programa"
"ESTO25","Plano Abastecimento Materiais - Remessa Industrialização","Programa"
"ESTO25","Plano Abastecimento Materiais - Requisição -Rel. Qtd Abast","Programa"
"ESTO25","Plano Abastecimento Materiais - Simples Remessa","Programa"
"ESTO25","Plano Abastecimento Materiais - Transferência para Produção","Programa"
"LFIS18","Código de Emitentes","Programa"
"RECE5","Relatório Impostos","Programa"
"FATU10","Relatório Imposto","Programa"
"MPSP12","Relatório Plano Mestre de Produção Detalhado","Programa"
"RECE6","Relatório de Impostos","Relatório"
"MPSP10","Relatório Programação Pedidos a Embarcar","Programa"
"PEDI16","Relatório Resumo Pedidos por Grade","Programa"
"ADMI14","Regiões","Programa"
"ADMI15","Grau de Instrução","Programa"
"ADMI16","Mercado","Programa"
"ADMI18","Nível de Atendimento","Programa"
"ADMI19","Condições de Pagamento","Programa"
"ADMI20","Incentivos Fiscais","Programa"
"ADMI21","Moedas","Programa"
"ADMI22","CNAE - Cadastro Nacional de Atividade Econômica","Programa"
"PREC7","Processos - Calcula Meta sobre Eficiência","Programa"
"EPRO3","Unidades de Medida","Programa"
"EPRO4","Largura","Programa"
"EPRO5","Cores","Programa"
"EPRO6","Tonalidades","Programa"
"EPRO7","Área de Suprimento","Programa"
"EPRO8","Etiquetas por Unidade de Produto","Programa"
"FATU2","Kunden ERP","Grupo"
"VEND2","Lista de Preço (Estrutural)","Programa"
"EPRO19","Variação de Grade","Programa"
"CPAG3","Ocorrências","Programa"
"CPAG3","Ocorrências","Programa"
"CPAG3","Ocorrências","Programa"
"CPAG3","Ocorrências","Programa"
"CPAG11","Análise ABC de Documentos/Fornecedores","Programa"
"CPAG7","Relatório Documentos","Programa"
"EPRO21","Família Vendas","Programa"
"CONT12","Lançamentos Contábeis","Programa"
"EPRO21","Família Compras","Programa"
"CREC7","Relatório Lançamentos (Base Cálculo Comissão)","Programa"
"CPAG16","Relatório Documentos por Grupo","Relatório"
"CREC17","Livro Razão","Programa"
"CREC12","Relatório Saldos Agrupados por Intervalo de Dias","Relatório"
"CPAG14","Relatório Saldos Agrupados por Intervalo de Dias","Relatório"
"CREC23","Emissão de Duplicatas","Relatório"
"CREC23","Emissão de Triplicatas","Relatório"
"EPRO22","Roteiro","Programa"
"COMP8","Posição de Entregas","Relatório"
"COMP7","Posição de Entregas","Programa"
"ESTO6","Configuração de Classes de Operações","Programa"
"PEDI2","Categorias de Pedido - Venda","Programa"
"ADMI38","Bancos","Programa"
"LFIS4","Registro de Entradas Cancelados","Programa"
"LFIS5","Registro de Saídas Cancelados","Programa"
"LFIS27","Configuração Parâmetros Arquivos Fiscais","Programa"
"CFAB16","Emissão Etiqueta Ordem de Fabricação","Programa"
"COMP17","Plano de Necessidades de Compras","Relatório"
"FATU16","Gera/Emissão Rótulo Unidade Armazenamento - Pedidos Estofados","Programa"
"COMP16","Plano de Necessidades de Compras","Programa"
"CEXC1100","Emissão Ordem de Fabricação","Relatório"
"PEDI7","Emissão de Etiqueta por Unidade de Produto por Plano de Produção(Termotransferência)","Programa"
"CFAB20","Composição Plano Produção","Programa"
"CFAB21","Composição Plano Produção p/ Ordem de Fabricação","Relatório"
"ADMI74","Ocorrências/Pendências","Programa"
"FATU18","Gera Notas Fiscais de Transferência ICMS","Programa"
"FATU21_ANTONIELLE","Notas Fiscais de Saída Matricial - Transf. ICMS","Relatório"
"CUST2","Configuração Custeio","Programa"
