item,module,baskets,documents,rules_from_item
EPRO15,EPRO,647,194,0
PEDI1,PEDI,484,177,0
ESTO25,ESTO,334,106,0
FATU2,FATU,310,147,2
ESTO7,ESTO,305,166,1
MPSP5,MPSP,253,75,1
ORA-20000,ORA,240,108,0
MPSP2,MPSP,219,38,0
FATU61,FATU,208,34,1
FATU3,FATU,206,100,1
CFAB2,CFAB,191,120,6
COMP13,COMP,182,50,0
PEDI4,PEDI,158,54,2
ADMI6,ADMI,154,112,1
COMP3,COMP,147,44,1
FATU16,FATU,137,46,0
CFAB1,CFAB,117,64,1
CFAB59,CFAB,112,50,5
ADMI34,ADMI,111,45,0
PEDI44,PEDI,108,44,3
RECE2,RECE,104,48,3
ESTO112,ESTO,86,33,3
ADMI8,ADMI,84,61,2
CFAB90,CFAB,83,20,1
FVEN5,FVEN,80,15,0
MPSP46,MPSP,72,20,3
RECE7,RECE,70,33,4
COMP14,COMP,70,22,2
FATU153,FATU,69,17,0
FATU110,FATU,69,14,2
CPRO4,CPRO,62,27,1
FATU6,FATU,61,19,1
PEDI2,PEDI,61,33,1
PEDI7,PEDI,60,18,1
ESTO4,ESTO,60,38,4
PEDI3,PEDI,59,20,0
ADMI35,ADMI,58,33,3
ADMI63,ADMI,58,31,0
FATU146,FATU,57,21,2
PREC9,PREC,53,35,3
FATU124,FATU,51,14,2
EPRO58,EPRO,50,36,3
PREC7,PREC,48,25,2
CFAB85,CFAB,47,8,1
COMP5,COMP,46,27,3
ESTO15,ESTO,43,16,1
EPRO28,EPRO,41,16,2
ADMI1,ADMI,40,30,1
FATU74,FATU,40,19,6
VEND2,VEND,38,24,2
EPRO2,EPRO,38,22,3
PEDI142,PEDI,38,2,0
EPRO60,EPRO,37,15,3
ESTO129,ESTO,37,17,1
CFAB7,CFAB,37,18,1
FATU104,FATU,37,4,1
CFAB24,CFAB,36,30,2
ADMI84,ADMI,36,21,0
EPRO16,EPRO,36,20,1
CFAB101,CFAB,34,17,1
ESTO71,ESTO,34,29,10
ORA-06502,ORA,34,27,2
