program;description;menu name;type;auto description (for reference)
EPRO15;;Estruturação do Produto;Programa;"EPRO15 – Estruturação do Produto. Tipo: Programa. Variações no menu: Estruturação do Produto - Exibe Somente Lista de Materiais Válidos; Estruturação do Produto PGD; Estruturação do Produto (Exibe Lista de Materiais e Processos Inativos); Estruturação do Produto - Henrich (Mostra Mat e Processos Inativos). Termos frequentes: produto engenharia estruturação, fator de conversão, estruturação de produto, engenharia e desenvolvimento, especificação técnica, questão das fotos. Documentos: Estruturação de Produto - EPRO15; Estruturação de Produto - EPRO15 com rotina nova de criação de Produto Acabado pelas Marcas_Variação, para Henrich; Documentação IA_Cadastro de Produto até Faturamento."
PEDI1;;Pedidos de Venda;Programa;"PEDI1 – Pedidos de Venda. Tipo: Programa. Variações no menu: Pedidos de Venda - Normal; Pedidos de Venda Exportação; Pedidos de Venda - Simplificado; PEDI1 - AUGUSTO. Termos frequentes: distribuição pedidos, grade a marcar, lote produção estoque, tipo de entrega, venda alteração, moeda. Documentos: Pedido de Venda_Detalhes Gerais-PEDI1; Lote Produção Estoque - PEDI1; Documentação IA_Cadastro de Produto até Faturamento."
ESTO25;;Plano Abastecimento Materiais;Programa;"ESTO25 – Plano Abastecimento Materiais. Tipo: Programa. Variações no menu: Plano Abastecimento Materiais - Remessa Industrialização; Plano Abastecimento Materiais - Remessa Industrialização c/Nota; Plano Abastecimento Materiais - Requisição -Rel. Qtd Abast; Plano Abastecimento Materiais - Simples Remessa. Termos frequentes: abastecimento materiais requisição, abastecimento materiais simples, materiais remessa industrialização, planejamento necessidade, centro de custo, materiais transferência produção. Documentos: Plano Abastecimento Materiais _Requisições ESTO25; Plano Abastecimento Materiais _ Remessa Industrialização ESTO25; Plano Abastecimento Materiais _Transferencia ESTO25."
FATU2;;Notas Fiscais de Saída;Programa;"FATU2 – Notas Fiscais de Saída. Tipo: Programa. Variações no menu: Notas Fiscais de Saída - CORRETO; Nota Fiscal de Saída - TICKET - KHTA; Notas Fiscais de Saída - MONITOR; Kunden ERP."
ESTO7;;Consulta Estoque Produto;Programa;"ESTO7 – Consulta Estoque Produto. Tipo: Programa. Variações no menu: Consulta Estoque Produto adoc. Termos frequentes: suprimentos estoque consultas, venda reservados, systems. Documentos: Consulta Estoque Produto - ESTO7; Liberação Lote Produção Estoque para Venda Estoque Futuro - MPSP20; Rotina Estoque Futuro Brisa_e Geral."
MPSP5;;Plano de Produção;Programa;"MPSP5 – Plano de Produção. Tipo: Programa. Variações no menu: Plano de Produção - UTILIZA_DATAS_PLANEJAMENTO = S; Plano de Produção - GUILHERME; Plano de Produção - CURTUME; Plano de Produção - UTILIZA_DATAS_PLANEJAMENTO = N - Loc. 16. Termos frequentes: mestre de produção, variação de consumo, variação de grade, tipo calculo lote, data base, utiliza datas planejamento. Documentos: Plano de Produção_Detalhes Gerais - MPSP5; Plano de Produção-MPSP5, “KUNDEN”.“EMAIL_MONITOR_ATM”.“ASSUNTO”; Plano de Produção – MPSP5."
MPSP2;;Planejamento;Programa;"MPSP2 – Planejamento. Tipo: Programa. Variações no menu: Planejamento (DESCONSIDERAR_DATA_BASE = S); Planejamento Kunden; Planejamento - CALÇADOS ROBERTO; Planejamento - 186. Termos frequentes: mestre de produção, recurso base planejamento, configuração recurso base, minutos disponíveis, recursos base planejamento, erro mps datas. Documentos: Planejamento_rotina e dados gerais - MPSP2; Planejamento – MPSP2."
FATU61;;Monitor Notas Fiscais Eletrônicas;Programa;"FATU61 – Monitor Notas Fiscais Eletrônicas. Tipo: Programa. Variações no menu: Fab - Monitor Notas Fiscais Eletrônicas Romaneio; Monitor Notas Fiscais Eletrônicas Romaneio; Monitor Notas Fiscais Eletrônicas (Patch 153); Monitor Notas Fiscais Eletrônicas - Equador. Termos frequentes: notas fiscais eletrônica, carta de correção, primevo, homologação da sefaz, parece que ocorre, investigar um assunto. Documentos: Monitor Notas Fiscais Eletrônicas – FATU61; Monitor Notas Fiscais - NF Eletronica - FATU61; Monitor de Notas Fiscais- MDE – FATU61."
FATU3;;Notas Fiscais de Entrada;Programa;"FATU3 – Notas Fiscais de Entrada. Tipo: Programa. Variações no menu: Notas Fiscais de Entrada FL01; Notas Fiscais de Entrada - Monitor; Notas Fiscais de Entrada - Atelier; Notas Fiscais de Entrada 207 PEGADA."
CFAB2;;Consulta Ordem de Fabricação;Programa;"CFAB2 – Consulta Ordem de Fabricação. Tipo: Programa. Documentos: Consulta Ordem de Fabricação - CFAB2; Chão de Fábrica WEB."
COMP13;;Plano de Necessidades de Compras;Programa;"COMP13 – Plano de Necessidades de Compras. Tipo: Programa. Variações no menu: Plano de Necessidades de Compras - Gera Neces Estab Fat; Plano de Necessidades de Compras - Estab. 115 - Comp. 3; Plano de Necessidades de Compras - Estab. 72099; Plano de Necessidades de Compras - Aniger. Termos frequentes: mrp de compras, pedidos em carteira, necessidades de compra, data compra, compras por estabelecimento, recurso base planejamento. Documentos: Plano Necessidades de Compras_MRP - COMP13; Plano de Necessidade de Compras – COMP13 160419."
PEDI4;;Liberação Pedidos Faturamento;Programa;"PEDI4 – Liberação Pedidos Faturamento. Tipo: Programa. Variações no menu: Liberação Pedidos Faturamento 2; Liberação Pedidos Faturamento - Sem Produção ESTAB 3; Liberação Pedidos Faturamento Conta e Ordem; Liberação Pedidos Faturamento - ADOC. Termos frequentes: pedidos venda faturamento, qtde de volumes, pago pelo destinatário, liberação parcial, filtrar estab, produto na estruturação. Documentos: Liberação Pedidos Faturamento - PEDI4; Documentação IA_Cadastro de Produto até Faturamento."
ADMI6;;Programas;Programa;"ADMI6 – Programas. Tipo: Programa. Variações no menu: Programas - DT. Documentos: Programas – ADMI6; Programas - ADMI6."
COMP3;;Pedidos de Compra;Programa;"COMP3 – Pedidos de Compra. Tipo: Programa. Variações no menu: Pedidos de Compra Serviço; Pedidos de Compra - com alteração liberada; Pedidos de Compra com Cotação; Pedidos de Compra sem Cotação. Termos frequentes: suprimentos compras, thunderbird, data de saída, dias transporte, ordem de compra, compra parâmetro inicialização. Documentos: Pedido de Compras - COMP3; Pedido de Compra – COMP3 - 160419; parte_02."
FATU16;;Gera/Emissão Rótulo Unidade Armazenamento;Programa;"FATU16 – Gera/Emissão Rótulo Unidade Armazenamento. Tipo: Programa. Variações no menu: Gera/Emissão Rótulo Unidade Armazenamento - Pedidos Estofados; Gera/Emissão Rótulo Unidade Armazenamento - Lote Produção Estoque; Gera/Emissão Rótulo Unidade Armazenamento - HKUNTZLER Térmica; Geração/Emissão Rótulo - Henrich. Termos frequentes: rótulos unidades armazenamento, corrugados, agrupa produtos rotulo, layout de rótulo, tipos de corrugadas, gera rótulos pedidos. Documentos: Rotulos_Emissão_Caixas_Corrugadas - FATU16."
