from,to,together,documents,from_baskets,to_baskets,confidence,lift,conviction,cross_module,kind,evidence,score
ADMI125,ADMI6,18,18,24,157,0.75,36.74,3.92,0,program->program,51-0 67-0 97-9,14.834
ESTO71,ESTO25,26,25,34,336,0.765,17.5,4.06,0,program->program,7-0 74-0 171-0,13.904
EPRO18,EPRO2,10,9,12,38,0.833,168.64,5.97,0,program->program,80-128 103-0 150-0,12.562
CPRO3,CPRO4,20,11,31,62,0.645,80.02,2.8,0,program->program,149-3 188-2 189-27,11.962
CFAB86,CFAB85,16,5,17,47,0.941,153.99,16.9,0,program->program,121-17 132-7 135-0,11.73
FATU79,FATU2,9,9,9,316,1.0,24.34,inf,0,program->program,919-0 928-0 929-10,11.618
ESTO3,ESTO4,16,12,26,61,0.615,77.58,2.58,0,program->program,175-0 181-0 190-5,11.581
TERC10,RECE7,12,10,18,70,0.667,73.24,2.97,1,program->program,211-31 212-29 331-2,11.213
TERC2,TERC1,10,9,14,33,0.714,166.45,3.48,0,program->program,136-5 211-32 530-1,11.084
ADMI96,ADMI102,7,7,8,11,0.875,611.7,7.99,0,program->program,16-2 84-5 87-11,10.829
CFAB39,CFAB59,6,6,6,112,1.0,68.66,inf,0,program->program,132-6 142-0 144-1,10.616
MIND31,MIND1,9,4,9,16,1.0,480.62,inf,0,program->program,838-18 845-7 846-0,9.878
VEND79,VEND78,6,5,6,28,1.0,274.64,inf,0,program->program,579-13 588-3 589-2,9.775
MPSP75,MPSP74,18,3,18,27,1.0,284.81,inf,0,program->program,439-0 441-1 442-1,9.724
MIND15,MIND16,9,7,13,15,0.692,354.92,3.24,0,program->program,211-85 212-66 833-1,9.572
ESTO2,ESTO4,15,12,30,61,0.5,63.03,1.98,0,program->program,100-0 181-3 190-5,9.541
ESTO3,ESTO2,14,10,26,30,0.538,138.03,2.16,0,program->program,181-1 190-5 194-18,9.473
CPRO1,CPRO3,11,8,18,31,0.611,151.59,2.56,0,program->program,149-3 274-32 504-4,9.419
CPRO27,CPRO24,10,4,11,13,0.909,537.76,10.98,0,program->program,2-3 476-0 511-5,9.408
PREC19,PREC18,10,4,11,16,0.909,436.93,10.98,0,program->program,766-0 773-10 784-1,9.408
COMP49,COMP13,8,4,8,182,1.0,42.25,inf,0,program->program,668-1 678-29 681-1,9.177
ESTO67,ESTO73,15,8,27,31,0.556,137.81,2.24,0,program->program,152-4 174-18 175-0,8.991
MIND31,MIND30,8,4,9,13,0.889,525.81,8.98,0,program->program,838-18 845-8 846-0,8.781
ESTO81,MPSP46,11,6,17,72,0.647,69.11,2.81,1,program->program,104-7 121-4 126-0,8.758
ESTO112,CFAB59,35,25,88,112,0.398,27.31,1.64,1,program->program,44-2 97-9 102-1,8.72
FATU17,FATU16,20,4,26,139,0.769,42.56,4.26,0,program->program,281-2 454-0 455-0,8.719
ESTO71,FATU2,19,19,34,316,0.559,13.6,2.17,1,program->program,7-0 74-0 211-32,8.584
PEDI27,PEDI26,7,6,10,23,0.7,234.04,3.32,0,program->program,416-32 585-2 586-0,8.575
PEDI73,PEDI44,7,5,9,111,0.778,53.88,4.44,0,program->program,257-49 258-25 547-33,8.553
ADMI102,ADMI96,7,7,11,8,0.636,611.7,2.75,0,program->program,16-2 84-5 87-11,8.509
MIND16,MIND15,9,7,15,13,0.6,354.92,2.5,0,program->program,211-85 212-66 833-1,8.509
EPRO2,EPRO15,27,15,38,652,0.711,8.38,3.16,0,program->program,80-35 101-8 103-0,8.507
CFAB10,CFAB1,15,12,30,119,0.5,32.31,1.97,0,program->program,89-11 119-7 131-1,8.507
FATU22,FATU16,11,5,15,139,0.733,40.57,3.68,0,program->program,254-0 280-1 454-6,8.495
TERC2,TERC3,8,8,14,27,0.571,162.75,2.33,0,program->program,136-5 716-18 719-1,8.462
MIND1,MIND22,10,6,16,31,0.625,155.04,2.66,0,program->program,836-0 838-8 843-6,8.381
CFAB83,CFAB78,8,5,11,13,0.727,430.21,3.66,0,program->program,120-3 121-45 122-0,8.379
ESTO2,ESTO3,14,10,30,26,0.467,138.03,1.87,0,program->program,181-1 190-5 194-18,8.325
VEND94,PEDI1,8,8,9,489,0.889,13.98,8.43,1,program->program,211-164 258-31 598-0,8.252
CPRO24,CPRO27,10,4,13,11,0.769,537.76,4.33,0,program->program,2-3 476-0 511-5,8.232
EPRO02,EPRO2,5,4,5,38,1.0,202.37,inf,0,program->program,80-184 353-5 361-1,8.232
ADMI109,ADMI91,5,5,6,7,0.833,915.48,5.99,0,program->program,15-0 16-3 796-5,8.146
TERC5,RECE7,5,5,6,70,0.833,91.55,5.95,1,program->program,705-0 720-3 918-1,8.146
TERC5,TERC2,5,5,6,14,0.833,457.74,5.99,0,program->program,705-0 716-18 918-1,8.146
TERC10,TERC1,9,9,18,33,0.5,116.52,1.99,0,program->program,211-32 625-2 701-1,8.076
CFAB79,CFAB101,8,7,14,34,0.571,129.24,2.32,0,program->program,80-71 95-5 114-1,8.008
VEND114,VEND78,6,5,8,28,0.75,205.98,3.99,0,program->program,211-110 573-121 588-3,7.998
ESTO73,ESTO67,15,8,31,27,0.484,137.81,1.93,0,program->program,152-4 174-18 175-0,7.933
ADMI91,ADMI102,6,4,7,11,0.857,599.22,6.99,0,program->program,15-0 16-0 799-2,7.903
