from_chunk,to_chunk,similarity,relation,shared_programs,from_cluster,to_cluster,from_title,to_title
0-0,0-2,0.796,same_record,EPRO15,-1,-1,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-0,80-131,0.742,other_document,EPRO15,-1,96,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida",Estruturação de Produto (EPRO15) — PROGRAMA ESTRUTURAÇÃO DE PRODUTO-EPRO15. CAMPO DA IMAGEM
0-0,0-1,0.736,same_record,EPRO15,-1,-1,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-0,990-5,0.729,other_document,EPRO15,-1,-1,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Estruturação de Produto (EPRO15) — estrutura técnica, três áreas principais, marca coleção modelo"
0-0,971-4,0.715,other_document,EPRO15,-1,22,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","ADMI125 — peso líquido tam, nova flag listar, restante dos tamanhos"
0-1,0-2,0.836,same_record,EPRO15,-1,-1,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-1,0-0,0.736,same_record,EPRO15,-1,-1,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-1,801-4,0.683,other_document,,-1,8,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","ADMI122 — servidor de aplicação, doccob entrada, processado"
0-1,379-1,0.680,other_document,,-1,79,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Configurador de Produto (EPRO28) — chegar ao produto, padrão ou opcional, combinação"
0-1,738-3,0.667,other_document,,-1,2,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Moeda (ADMI51) — 9. Assim, é possível editar as seguintes configurações da app"
0-2,0-1,0.836,same_record,EPRO15,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-2,0-0,0.796,same_record,EPRO15,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-2,40-0,0.773,other_document,PEDI1,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento",Pedido de Venda (PEDI1) — PEDIDO DE VENDA - PEDI1
0-2,562-8,0.748,other_document,PEDI1,-1,28,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Pedido de Venda (PEDI1) — campos: Grade, LOG, Mat, Marca"
0-2,0-3,0.748,same_record,,-1,126,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar"
0-3,990-35,0.759,other_document,FATU2 FATU61 PEDI4,126,126,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Nota Fiscal de Saída (FATU2) — cancelamento de entrega, marcar os check, autorização da sefaz"
0-3,990-23,0.750,other_document,PEDI4,126,126,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Pedido de Venda (PEDI1) — condições de pagamento, liberação pedidos faturamento, utilizado para liberar"
0-3,0-2,0.748,same_record,,126,-1,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-3,990-27,0.729,other_document,PEDI4,126,126,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Liberação Pedidos Faturamento (PEDI4) — fiscal é gerada, liberação e faturamento, baixa de estoque"
0-3,298-1,0.716,other_document,FATU61 PEDI4,126,126,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar",PEDI81 — Agilizar processo de faturamento de NF geradas pelo PEDI4 Rotina
1-0,798-0,0.665,other_document,,14,8,"versões do produto, além de desenvolver, gestão empresarial",All sections to appear here FRETE CERTO
1-0,838-17,0.664,other_document,,14,14,"versões do produto, além de desenvolver, gestão empresarial","Ordens de Serviço (MIND22) — título da janela, painel lateral esquerdo, análise de crédito"
1-0,628-0,0.651,other_document,,14,14,"versões do produto, além de desenvolver, gestão empresarial",Apresentação Kunden Power Bi
1-0,1-1,0.643,same_topic,,14,14,"versões do produto, além de desenvolver, gestão empresarial","tomadas de decisão, gestão da produção, dados em tempo"
1-0,295-0,0.619,other_document,,14,14,"versões do produto, além de desenvolver, gestão empresarial",Usuários (ADMI1) — SISTEMA PONTO DE VENDA (PDV): DESENVOLVIMENTO Rotina
1-1,1-0,0.643,same_topic,,14,14,"tomadas de decisão, gestão da produção, dados em tempo","versões do produto, além de desenvolver, gestão empresarial"
1-1,838-17,0.632,other_document,,14,14,"tomadas de decisão, gestão da produção, dados em tempo","Ordens de Serviço (MIND22) — título da janela, painel lateral esquerdo, análise de crédito"
