cluster_a,cluster_b,links,keywords_a,keywords_b
19,41,38,"fpv, preço venda, cálculo","custeio, custo, recálculo"
12,13,38,"alíquota, cbs, ibs","ibs, cbs, monofásica"
22,126,29,"detalhamento teste, login, user","faturamento, liberação, pedidos"
113,126,29,"risco, crédito, analise","faturamento, liberação, pedidos"
151,153,27,"fabricação geração, plano mestre, mestre produção","plano mestre, mestre produção, relatório plano"
90,97,27,"material, materiais, componente","engenharia, desenvolvimento produto, estruturação produto"
132,140,26,"eficiência, minutos, turno","recurso, planejamento, meta"
98,126,25,"rota, pedidos faturamento, liberação pedidos","faturamento, liberação, pedidos"
122,123,22,"emissão ordem, chão, ordem fabricação","cartão, componente, emissão"
156,157,22,"entrada, nota, fiscal","importação notas, fiscais importação, entrada xml"
43,44,21,"cep, inspeção, lançamento","devolução, devoluções, cep"
102,108,21,"centro custo, requisição, contábil","abastecimento, requisição, materiais"
108,110,21,"abastecimento, requisição, materiais","necessidades, compras, mrp"
77,89,20,"cancelamento saldo, saldo embarque, reserva","estoque futuro, localização, produção estoque"
76,133,19,"encerramento, finalização, proceso","semi, ofs, acabado"
108,151,19,"abastecimento, requisição, materiais","fabricação geração, plano mestre, mestre produção"
158,159,19,"monitor, fiscais, notas","aline, sefaz, monitor"
140,152,19,"recurso, planejamento, meta","mestre produção, plano mestre, forecast"
45,46,18,"armazenagem, local, rótulos","armazenagem, lotes, local"
62,65,18,"painel, web, expedição","painel embalagem, embalagem web, web painel"
108,133,17,"abastecimento, requisição, materiais","semi, ofs, acabado"
10,11,17,"evento, leiaute, autor","tag, obrig rejeição, chave acesso"
117,122,17,"rendimento, curtume, custo","emissão ordem, chão, ordem fabricação"
87,94,17,"diferença, custo médio, estoque","custo médio, unitário, suprimentos estoque"
51,84,17,"email, envio, mails","compras, comprador, alçada"
8,9,16,"doccob, conemb, transportadora","codex clipboard, png, tecnica"
57,71,16,"etiqueta, emissão, impressão","empresa, mrp, tabela"
51,55,16,"email, envio, mails","mail assunto, desenvolvimento, queria entender"
30,116,16,"encaixotamento, talões, liberação faturamento","estorno, cancelamento, devolução"
63,65,16,"etiqueta, primevo, letavo","painel embalagem, embalagem web, web painel"
104,129,16,"cancelamento, entrega, cancelar","entrega, categoria, venda"
