cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
0,20,"gera emissão, emissão rótulo, rótulo unidade, unidade armazenamento, armazenamento pedidos, armazenamento padrão",,,,documentacao:20,1,1.0,0.855,Geração Rótulos para compostos de venda (FATU16) — 8 – Gera/Emissão Rótulo Unidade Armazenamento – BOLSAS
1,24,"saldo saldo, prev, ent, lanc, total total, exp",MPSP,1.0,MPSP:15,documentacao:24,2,0.62,0.792,MPSP74 — PÁGINA:23/07/2020 13:53 5 de 9
2,43,"moeda, cotação, cotações, dia, banco central, aplicação",ADMI,0.8,ADMI:28 COMP:6 ESTO:1,pedido:18 documentacao:13 email:12,10,0.58,0.77,Moeda (ADMI51) — COTAÇÃO DE MOEDA: ATUALIZAR AUTOMATICAMENTE A COTAÇÃO DE MOEDA Rotina
3,20,"reg, status notas, mandatório, brancos, filler, notas identificador",,,,documentacao:20,6,0.4,0.818,NOTFIS - DADOS DE NOTAS FISCAIS (VERSÃO 1.0) PREENCHIMENTO: MANDATÓRIO
4,18,"power, mcm, visões, mobile, visão, filtros",,,,pedido:18,2,0.94,0.826,POWER BI - MELHORAR EXIBIÇÃO DAS INFORMAÇÕES DOS CAMPOS FILTROS Rotina
5,33,"contra nota, gera contra, entrada frigorífico, recebimentos notas, fiscal entrada, suprimentos recebimentos",RECE,1.0,RECE:18,pedido:23 documentacao:10,7,0.55,0.806,Frigorífico (RECE50) — GERA CONTRA NOTA FISCAL DE ENTRADA - FRIGORÍFICO - USAR VALOR PELO PESO DO ABATE Rotina
6,56,"satra, ticket, arquivo, abastecimento, wilfredo, mismo",ADMI,0.67,ADMI:2 ESTO:1,documentacao:24 email:23 pedido:9,8,0.66,0.757,"Plano Abastecimento Materiais Satra (ESTO137) — nro de ticket, abastecimento materiais satra, ajustada a lógica"
7,34,"revisão, bônus, painel, fracionamento, sistema, treinamento",,,,documentacao:34,1,1.0,0.794,"virada de sistema, sku para lote, início do apontamento"
8,84,"doccob, conemb, transportadora, conhecimento, frete, xml",,,,documentacao:77 email:4 pedido:3,12,0.21,0.798,"ADMI102 — xml de ct-e, contas a pagar, gerado pelo excel"
9,25,"codex clipboard, png, tecnica, guilhermenoschang appdata, print codex, appdata local",,,,documentacao:25,1,1.0,0.869,"Nota Fiscal de Saída (FATU2) — users guilhermenoschang appdata, local temp codex-clipboard, handoff tecnico fretes"
