chunk_id,cluster,x,y,doc_name,record_type,module,title
0-0,-1,3.367,13.129,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,EPRO,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-1,-1,3.063,12.425,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,ADMI,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-2,-1,3.088,12.410,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,PEDI,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-3,126,4.167,9.126,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,PEDI,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar"
1-0,14,1.411,9.426,Kunden.docx,documentacao,,"versões do produto, além de desenvolver, gestão empresarial"
1-1,14,7.200,11.487,Kunden.docx,documentacao,,"tomadas de decisão, gestão da produção, dados em tempo"
2-0,-1,7.442,9.285,Documentação frigorificos.docx,documentacao,,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais"
2-1,66,8.434,8.956,Documentação frigorificos.docx,documentacao,,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs"
2-2,5,5.581,6.018,Documentação frigorificos.docx,documentacao,,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep"
2-3,5,5.509,5.961,Documentação frigorificos.docx,documentacao,,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise"
2-4,-1,6.706,12.971,Documentação frigorificos.docx,documentacao,,"filtrado o plano, gera uma etiqueta, apontamento de embalagem"
2-5,131,0.944,10.890,Documentação frigorificos.docx,documentacao,,Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android
2-6,126,4.499,8.784,Documentação frigorificos.docx,documentacao,,"Liberação Pedidos Faturamento por Rota (FATU153) — novamente a mensagem, média das peças, controle de expedição"
2-7,-1,8.240,8.660,Documentação frigorificos.docx,documentacao,,Pedidos de pronta entrega
2-8,100,5.301,9.941,Documentação frigorificos.docx,documentacao,,"possui peso padrão, somando a quantidade, bacon"
2-9,38,8.061,8.350,Documentação frigorificos.docx,pedido,,"estava reservado, cria os lotes, produtos de revenda"
2-10,46,8.133,9.068,Documentação frigorificos.docx,documentacao,,"necessidade de ler, passar no painel, lote a lote"
2-11,136,1.021,10.362,Documentação frigorificos.docx,documentacao,,"Liberação Pedidos Faturamento por Rota (FATU153) — controla o estoque, temos uma rotina, venda destes produtos"
2-12,-1,4.923,8.086,Documentação frigorificos.docx,documentacao,,Estorno de NF Parâmetro 50138
3-0,128,5.546,8.171,Rotina Consignação.pdf,documentacao,,Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO
4-0,-1,6.629,11.226,Conferencia Pré Custeio Kunden.docx,documentacao,,"CONT80 — nível de estoque, detalhado por documento, balancete"
5-0,41,6.591,11.617,Rotina Custeio e Conferencias Pós Custeio Kunden.docx,documentacao,,"CONT40 — contabilizar, relatório do item, geração das tarifas"
6-0,41,6.627,11.654,Rotina Custeio Kunden.docx,documentacao,,"CONT59 — geração das tarifas, centros de custo, ste"
