cluster_a,cluster_b,links,keywords_a,keywords_b
41,51,73,"situação, ocorrida, sobre","mail assunto, email, abaixo"
29,30,46,"detalhamento teste, login, user","composto, estoque, patch documentação"
108,120,36,"distribuição pedidos, vendas distribuição, entrega","ivendre, ios, proposta"
37,71,29,"sobre fpv, perguntou sobre, pessoal perguntou","fpv, preço venda, cálculo"
106,108,28,"reserva, estoque futuro, lote","distribuição pedidos, vendas distribuição, entrega"
82,108,28,"compras, necessidades, cotação","distribuição pedidos, vendas distribuição, entrega"
120,121,26,"ivendre, ios, proposta","android, app, ivendre"
51,52,23,"mail assunto, email, abaixo","descritivos técnicos, doc, curtume"
35,51,23,"ora, consolidar, bolsas operaciones","mail assunto, email, abaixo"
141,144,23,"faturamento, rota, liberação pedidos","faturamento, liberação, estabelecimento"
144,145,23,"faturamento, liberação, estabelecimento","desconto, faturamento, valor"
108,111,22,"distribuição pedidos, vendas distribuição, entrega","importação, edi, arquivo"
11,14,22,"ibs, cbs, alíquota","tag, obrig rejeição, chave acesso"
39,51,22,"tablas, schneider, una","mail assunto, email, abaixo"
40,51,22,"carta correção, mail assunto, nfs","mail assunto, email, abaixo"
78,82,22,"plano produção, projeção, necessidades","compras, necessidades, cotação"
57,58,21,"materiais, material, componente","engenharia, estruturação produto, desenvolvimento produto"
46,47,20,"relatório, resumo produção, apontamento rótulos","importação, fiscais, notas"
82,83,20,"compras, necessidades, cotação","pré, recebimento, pre"
60,61,20,"armazenagem, local, lotes","painel, web, embalagem"
120,125,20,"ivendre, ios, proposta","representante, entrega, carrinho"
28,51,19,"medidora, está lendo, barras","mail assunto, email, abaixo"
41,44,19,"situação, ocorrida, sobre","rotativo inventario, relatório posição, controle rotativo"
55,56,19,"conjunto, marca, produto acabado","marca, embalagem, conjunto"
95,96,18,"sql, movimento, estoque","select, código, sql"
45,47,18,"relatório, ordens fabricação, resumo cadastro","importação, fiscais, notas"
82,134,18,"compras, necessidades, cotação","abastecimento, suprimentos planejamento, materiais"
45,46,17,"relatório, ordens fabricação, resumo cadastro","relatório, resumo produção, apontamento rótulos"
146,147,17,"recebimento notas, fiscal, suprimentos recebimento","importação notas, fiscais importação, entrada xml"
125,126,16,"representante, entrega, carrinho","desconto, comissão, regra"
48,51,16,"sobre destaque, aparece venda, precisa habilitar","mail assunto, email, abaixo"
76,92,16,"qtde, medição, metragem","formula, tinta, materiais"
13,14,16,"evento, autor, leiaute","tag, obrig rejeição, chave acesso"
44,45,16,"rotativo inventario, relatório posição, controle rotativo","relatório, ordens fabricação, resumo cadastro"
25,51,16,"patchs, pegada, frigolaste","mail assunto, email, abaixo"
78,119,16,"plano produção, projeção, necessidades","mestre produção, plano mestre, manufatura plano"
142,143,16,"fiscais, notas, fiscal saída","danfe, monitor, fiscais"
111,125,15,"importação, edi, arquivo","representante, entrega, carrinho"
39,75,15,"tablas, schneider, una","select, código, tabela"
116,117,15,"processo, recurso, relatório","cartão, emissão, componente"
70,71,15,"custeio, custo, mês","fpv, preço venda, cálculo"
141,142,15,"faturamento, rota, liberação pedidos","fiscais, notas, fiscal saída"
55,57,14,"conjunto, marca, produto acabado","materiais, material, componente"
35,98,14,"ora, consolidar, bolsas operaciones","ora, mensagem, erro"
3,11,14,"cbs, ibs, monofásica","ibs, cbs, alíquota"
91,130,13,"localização, estoque, reserva","consignação, depósito, operação"
75,97,13,"select, código, tabela","planejamento, ofs, planos"
68,70,13,"custeio, soubach, couro","custeio, custo, mês"
40,136,13,"carta correção, mail assunto, nfs","entrada, chave, smart"
108,145,13,"distribuição pedidos, vendas distribuição, entrega","desconto, faturamento, valor"
43,51,13,"link, http, kunden senha","mail assunto, email, abaixo"
20,116,13,"carteira, análise, representante","processo, recurso, relatório"
1,2,12,"nao, dito, deve","revisão, bônus, fracionamento"
124,125,12,"ivendre, fotos, ios","representante, entrega, carrinho"
56,57,12,"marca, embalagem, conjunto","materiais, material, componente"
29,71,12,"detalhamento teste, login, user","fpv, preço venda, cálculo"
131,132,12,"retorno, industrialização, deposito","retorno remessa, recebimento, industrialização"
129,132,12,"remessa, industrialização, retorno","retorno remessa, recebimento, industrialização"
15,61,11,"contra nota, abate, gera contra","painel, web, embalagem"
92,122,11,"formula, tinta, materiais","pesagem, compensação, ofs"
123,129,11,"abastecimento, ofs, consumo","remessa, industrialização, retorno"
136,140,11,"entrada, chave, smart","sefaz, receita, notas"
84,85,11,"lotes, painel, fracionar","localização, futuro, estoque"
12,62,11,"manutenção, preventiva, maquina","manutenção industrial, transferência, máquina"
8,9,10,"doccob, transportadora, conhecimento","codex, clipboard, png"
22,29,10,"saldo saldo, alterado, prev","detalhamento teste, login, user"
122,133,10,"pesagem, compensação, ofs","requisição, centro custo, baixa"
109,110,10,"cri, inventariado, inventário","suprimentos estoque, estoque produto, consulta estoque"
37,51,10,"sobre fpv, perguntou sobre, pessoal perguntou","mail assunto, email, abaixo"
129,131,10,"remessa, industrialização, retorno","retorno, industrialização, deposito"
93,118,10,"semi, acabado, ofs","planejamento, minutos, turno"
108,121,10,"distribuição pedidos, vendas distribuição, entrega","android, app, ivendre"
69,138,10,"arezzo, importação, romaneio","faturamento, liberação, encaixotamento"
41,45,9,"situação, ocorrida, sobre","relatório, ordens fabricação, resumo cadastro"
49,100,9,"corrugado, rótulos, corrugada","lote, balanceado, quantidade"
25,26,9,"patchs, pegada, frigolaste","aplicar regra, venda documentação, produtos sku"
74,117,9,"etiqueta, emissão, unidade produto","cartão, emissão, componente"
115,116,9,"rendimento, custo, listar","processo, recurso, relatório"
59,141,9,"romaneio, saída, faturamento","faturamento, rota, liberação pedidos"
25,41,9,"patchs, pegada, frigolaste","situação, ocorrida, sobre"
114,118,9,"fabricação, ordem, ordens","planejamento, minutos, turno"
64,70,9,"produtos fabricação, mês, geração produtos","custeio, custo, mês"
133,134,9,"requisição, centro custo, baixa","abastecimento, suprimentos planejamento, materiais"
65,66,9,"ticket, una, proceso","satra, arquivo, ticket"
139,145,9,"crédito, risco, analise","desconto, faturamento, valor"
113,118,9,"meta, planejamento, recurso","planejamento, minutos, turno"
32,49,9,"rótulos, armazenamento, unidades","corrugado, rótulos, corrugada"
23,51,9,"logs, job, tabelas","mail assunto, email, abaixo"
80,81,9,"cep, lançamento, controle indicador","inspeção, amostragem, aprovação"
121,124,8,"android, app, ivendre","ivendre, fotos, ios"
98,127,8,"ora, mensagem, erro","kunden systems, marcio, systems convidado"
92,93,8,"formula, tinta, materiais","semi, acabado, ofs"
53,82,8,"lote mínimo, mínimo compra, qtde","compras, necessidades, cotação"
80,129,8,"cep, lançamento, controle indicador","remessa, industrialização, retorno"
75,96,8,"select, código, tabela","select, código, sql"
80,91,8,"cep, lançamento, controle indicador","localização, estoque, reserva"
61,74,8,"painel, web, embalagem","etiqueta, emissão, unidade produto"
115,117,8,"rendimento, custo, listar","cartão, emissão, componente"
99,104,8,"multitarefa, cep, apontamento","apontamento, funcionário, desvio processo"
123,134,8,"abastecimento, ofs, consumo","abastecimento, suprimentos planejamento, materiais"
51,65,8,"mail assunto, email, abaixo","ticket, una, proceso"
78,93,8,"plano produção, projeção, necessidades","semi, acabado, ofs"
27,138,8,"caixas, aproveitamento, lote","faturamento, liberação, encaixotamento"
76,123,8,"qtde, medição, metragem","abastecimento, ofs, consumo"
78,97,8,"plano produção, projeção, necessidades","planejamento, ofs, planos"
60,84,8,"armazenagem, local, lotes","lotes, painel, fracionar"
40,129,8,"carta correção, mail assunto, nfs","remessa, industrialização, retorno"
51,55,8,"mail assunto, email, abaixo","conjunto, marca, produto acabado"
94,121,8,"vendas, planejamento, distribuição","android, app, ivendre"
12,23,8,"manutenção, preventiva, maquina","logs, job, tabelas"
120,124,8,"ivendre, ios, proposta","ivendre, fotos, ios"
20,145,8,"carteira, análise, representante","desconto, faturamento, valor"
41,75,8,"situação, ocorrida, sobre","select, código, tabela"
62,129,8,"manutenção industrial, transferência, máquina","remessa, industrialização, retorno"
29,41,8,"detalhamento teste, login, user","situação, ocorrida, sobre"
129,130,7,"remessa, industrialização, retorno","consignação, depósito, operação"
51,98,7,"mail assunto, email, abaixo","ora, mensagem, erro"
20,108,7,"carteira, análise, representante","distribuição pedidos, vendas distribuição, entrega"
98,117,7,"ora, mensagem, erro","cartão, emissão, componente"
72,76,7,"largura, equivocada, duramas","qtde, medição, metragem"
51,68,7,"mail assunto, email, abaixo","custeio, soubach, couro"
