chunk_id,cluster,x,y,doc_name,record_type,module,title
0-0,-1,0.189,11.914,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,EPRO,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-1,-1,0.441,11.723,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,ADMI,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-2,-1,0.484,11.667,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,PEDI,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-3,-1,0.345,11.474,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,PEDI,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar"
1-0,-1,2.941,13.501,Kunden.docx,documentacao,,"versões do produto, além de desenvolver, gestão empresarial"
1-1,21,3.257,15.541,Kunden.docx,documentacao,,"tomadas de decisão, gestão da produção, dados em tempo"
2-0,15,-0.916,12.669,Documentação frigorificos.docx,documentacao,,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais"
2-1,15,-0.917,12.713,Documentação frigorificos.docx,documentacao,,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs"
2-2,15,-0.901,12.717,Documentação frigorificos.docx,documentacao,,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep"
2-3,15,1.939,7.208,Documentação frigorificos.docx,documentacao,,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise"
2-4,-1,-2.625,9.340,Documentação frigorificos.docx,documentacao,,"filtrado o plano, gera uma etiqueta, apontamento de embalagem"
2-5,101,0.254,10.064,Documentação frigorificos.docx,documentacao,,Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android
2-6,-1,0.419,9.537,Documentação frigorificos.docx,documentacao,,"Liberação Pedidos Faturamento por Rota (FATU153) — novamente a mensagem, média das peças, controle de expedição"
2-7,-1,0.135,9.814,Documentação frigorificos.docx,documentacao,,Pedidos de pronta entrega
2-8,106,0.215,9.754,Documentação frigorificos.docx,documentacao,,"possui peso padrão, somando a quantidade, bacon"
2-9,-1,-0.039,9.994,Documentação frigorificos.docx,pedido,,"estava reservado, cria os lotes, produtos de revenda"
2-10,60,-0.570,10.849,Documentação frigorificos.docx,documentacao,,"necessidade de ler, passar no painel, lote a lote"
2-11,-1,-0.182,9.409,Documentação frigorificos.docx,documentacao,,"Liberação Pedidos Faturamento por Rota (FATU153) — controla o estoque, temos uma rotina, venda destes produtos"
2-12,-1,-0.361,8.370,Documentação frigorificos.docx,documentacao,,Estorno de NF Parâmetro 50138
3-0,130,-0.353,8.871,Rotina Consignação.pdf,documentacao,,Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO
4-0,-1,-2.395,8.652,Conferencia Pré Custeio Kunden.docx,documentacao,,"CONT80 — nível de estoque, detalhado por documento, balancete"
5-0,70,-4.180,8.844,Rotina Custeio e Conferencias Pós Custeio Kunden.docx,documentacao,,"CONT40 — contabilizar, relatório do item, geração das tarifas"
6-0,70,-4.124,8.885,Rotina Custeio Kunden.docx,documentacao,,"CONT59 — geração das tarifas, centros de custo, ste"
6-1,70,-4.139,8.876,Rotina Custeio Kunden.docx,documentacao,,"CONT12 — conciliação do custeio, ste, sistema irá atualizar"
7-0,-1,0.005,12.179,teste_69828.docx,documentacao,,Remessa Industrialização (ESTO25) — ESSA É A ROTINA CERTO DE GERAÇÃO DO FCI ATRAVES DO esto71 BASE DESENVOVLIMENTO
9-0,130,-0.269,8.814,"CONSIGNAÇÃO, Passo a Passo.pdf",documentacao,,"Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado"
9-1,130,-0.236,8.593,"CONSIGNAÇÃO, Passo a Passo.pdf",documentacao,,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação"
9-2,130,-0.726,8.745,"CONSIGNAÇÃO, Passo a Passo.pdf",documentacao,,Consulta Estoque Produto (ESTO7) — Aqui abaixo pesquisas adicionais referente a rotina de Consignação
10-0,-1,0.543,10.777,Labelli.docx,documentacao,,Condições de Pagamento (ADMI19) — Estruturação de produto
10-1,-1,0.310,11.155,Labelli.docx,documentacao,,"ADMI171 — cintos, venda interface api, inserir os materiais"
11-0,-1,-0.060,11.729,Cronograma de treinamento Painel de Manufatura Brisa.docx,documentacao,,Pessoas Físicas/Jurídicas (ADMI34) — Cronograma de treinamento Painéis de Manufatura Brisa e Rotinas novas
12-0,-1,-0.472,9.855,Rotina de faturamento Brisa.docx,documentacao,,Consulta Estoque Produto (ESTO7) — Objetivo Acesso Solicitações Detalhamento das Solicitações
13-0,-1,-2.409,9.273,Rotina estoque futuro Brisa 67032.docx,documentacao,,Consulta Ordem de Fabricação (CFAB2) — Criado um LE: Liberado pelo MPSP20
14-0,1,3.505,15.339,Compilado de Rotinas da Brisa.docx,documentacao,,"atta base, suporte, estruturada"
14-1,1,3.500,15.327,Compilado de Rotinas da Brisa.docx,documentacao,,"passagem de conhecimento, transcricao, documento original"
14-2,1,3.503,15.365,Compilado de Rotinas da Brisa.docx,documentacao,,"importacao de extrato, faturamento sem estoque, reuniao"
14-3,1,3.513,15.341,Compilado de Rotinas da Brisa.docx,documentacao,,"fato resto, chamado depender, trechos"
14-4,1,3.510,15.347,Compilado de Rotinas da Brisa.docx,documentacao,,"faturamento entre empresa, entrada com importacao, passo a passo"
14-5,1,3.504,15.353,Compilado de Rotinas da Brisa.docx,documentacao,,"contrato de cambio, nao deve assumir, texto legal"
14-6,1,3.518,15.329,Compilado de Rotinas da Brisa.docx,documentacao,,"vez que houver, parametro de geracao, descricao do produto"
14-7,1,3.500,15.364,Compilado de Rotinas da Brisa.docx,documentacao,,"nao ficou claro, existe um fluxo, validador de xml"
14-8,1,3.513,15.344,Compilado de Rotinas da Brisa.docx,documentacao,,"exportacao, apenas quando for, nota de saida"
14-9,1,3.512,15.350,Compilado de Rotinas da Brisa.docx,documentacao,,"estava sendo gerada, apuracao, problema de cadastro"
14-10,139,1.771,9.343,Compilado de Rotinas da Brisa.docx,documentacao,,"analise de credito, logica antiga, nao deve assumir"
14-11,1,3.511,15.344,Compilado de Rotinas da Brisa.docx,documentacao,,"fundamentacao legal, observacoes fiscais texto, tags do xml"
14-12,1,3.513,15.336,Compilado de Rotinas da Brisa.docx,documentacao,,"momento da reuniao, comissao, proprio treinamento"
14-13,1,3.512,15.350,Compilado de Rotinas da Brisa.docx,documentacao,,"treinamento de mdf-e, nao ficou claro, fechada no momento"
14-14,1,3.527,15.323,Compilado de Rotinas da Brisa.docx,documentacao,,"revisar a partir, necessidade de manter, entender o problema"
14-15,2,3.469,15.456,Compilado de Rotinas da Brisa.docx,documentacao,,"declaração de importação, regra do sistema, nao deve assumir"
14-16,2,3.406,15.631,Compilado de Rotinas da Brisa.docx,documentacao,,"cadastro master, despesas aduaneiras, usd"
14-17,2,3.368,15.652,Compilado de Rotinas da Brisa.docx,documentacao,,"travamentos ou congelamentos, tradicional comercio exterior, reabertura de processos"
14-18,2,3.384,15.655,Compilado de Rotinas da Brisa.docx,documentacao,,"ufde, sistema deve assegurar, faturamento de forma"
14-19,2,3.385,15.647,Compilado de Rotinas da Brisa.docx,documentacao,,"travamentos ou congelamentos, tabelas do banco, sistema deve assegurar"
14-20,2,3.402,15.644,Compilado de Rotinas da Brisa.docx,documentacao,,"tradicional comercio exterior, reabertura do lote, processos de importação"
14-21,2,3.412,15.673,Compilado de Rotinas da Brisa.docx,documentacao,,"estorno e reimpressão, painel de embalagens, impressão automática"
14-22,2,3.392,15.675,Compilado de Rotinas da Brisa.docx,documentacao,,"setor de revisão, url do painel, produto e lote"
14-23,2,3.400,15.646,Compilado de Rotinas da Brisa.docx,documentacao,,"responsável pela geração, permissões de grupo, layout para impressão"
14-24,2,3.392,15.679,Compilado de Rotinas da Brisa.docx,documentacao,,"tiago cruz, operacionais da revisão, materiais sem saldo"
14-25,2,3.389,15.682,Compilado de Rotinas da Brisa.docx,documentacao,,"tiago cruz, reimpressão no painel, operacionais da revisão"
14-26,2,3.359,15.684,Compilado de Rotinas da Brisa.docx,documentacao,,"transporte de amostras, utilizada como exemplo, total no relatório"
14-27,2,3.360,15.666,Compilado de Rotinas da Brisa.docx,documentacao,,"utilizados pelo setor, seleção do tipo, menu de manifesto"
14-28,2,3.368,15.689,Compilado de Rotinas da Brisa.docx,documentacao,,"servidor obj, via dispositivo móvel, treinamento de mdf-e"
14-29,2,3.340,15.687,Compilado de Rotinas da Brisa.docx,documentacao,,"cálculo de bônus, pastas do servidor, marca no tumblr"
14-30,2,3.367,15.709,Compilado de Rotinas da Brisa.docx,documentacao,,"lote de entrega, parametrizar as pastas, executivoos documentos registram"
14-31,2,3.356,15.695,Compilado de Rotinas da Brisa.docx,documentacao,,"lote de entrega, pedidos firmes, transferindo a quantidade"
14-32,2,3.383,15.708,Compilado de Rotinas da Brisa.docx,documentacao,,"revisão o operador, realizar um alinhamento, realiza a liberação"
14-33,2,3.419,15.754,Compilado de Rotinas da Brisa.docx,documentacao,,"lote de entrega, realizar um alinhamento, luciana"
14-34,2,3.408,15.754,Compilado de Rotinas da Brisa.docx,documentacao,,"virada de sistema, sku para lote, início do apontamento"
14-35,2,3.330,15.714,Compilado de Rotinas da Brisa.docx,documentacao,,"ponta a ponta, lotes na geração, físico de rolos"
14-36,2,3.334,15.710,Compilado de Rotinas da Brisa.docx,documentacao,,"Nota Fiscal de Saída (FATU2) — emissão da nota, síncronas para assíncronas, rolos de tecido"
14-37,60,-0.362,10.761,Compilado de Rotinas da Brisa.docx,documentacao,,"estoque via, packing list, distribuição faturamento manifesto"
14-38,2,3.365,15.706,Compilado de Rotinas da Brisa.docx,documentacao,,"síncronas para assíncronas, motoristas e frotas, instrução de corte"
14-39,2,3.363,15.689,Compilado de Rotinas da Brisa.docx,documentacao,,"Nota Fiscal de Saída (FATU2) — números de lotes, layout do painel, final da nota"
14-40,2,3.339,15.711,Compilado de Rotinas da Brisa.docx,documentacao,,"cálculo de bônus, marca no tumblr, insira novos pedidos"
14-41,2,3.340,15.712,Compilado de Rotinas da Brisa.docx,documentacao,,"sku lote, icms ipi pis, fiscal o sistema"
14-42,2,3.387,15.648,Compilado de Rotinas da Brisa.docx,documentacao,,"validação do fluxo, treinamento técnico operacional, rolos de tecido"
14-43,2,3.374,15.665,Compilado de Rotinas da Brisa.docx,documentacao,,"instrução de embarque, sob a fórmula, percentual do parâmetro"
14-44,-1,-0.206,10.520,Compilado de Rotinas da Brisa.docx,documentacao,,"expedição acessa, via rotina exit, utilizando o tipo"
14-45,2,3.365,15.671,Compilado de Rotinas da Brisa.docx,documentacao,,"gera e imprime, restringir o acesso, pallets por transportadora"
14-46,2,3.363,15.658,Compilado de Rotinas da Brisa.docx,documentacao,,"instruções de embarque, permitir o estorno, layout do painel"
14-47,2,3.380,15.662,Compilado de Rotinas da Brisa.docx,documentacao,,"web de fracionamento, registra uma validação, parte da equipe"
14-48,2,3.373,15.667,Compilado de Rotinas da Brisa.docx,documentacao,,"aptos a faturar, sku e lote, seleção para faturamento"
14-49,2,3.370,15.675,Compilado de Rotinas da Brisa.docx,documentacao,,"parâmetros em utilização, relatórios pedidos aptos, painel apontamentos"
