from_chunk,to_chunk,similarity,relation,shared_programs,from_cluster,to_cluster,from_title,to_title
0-0,0-2,0.926,same_record,EPRO15,-1,-1,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-0,0-1,0.913,same_record,EPRO15,-1,-1,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-0,353-11,0.911,other_document,EPRO15,-1,50,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Estruturação de Produto (EPRO15) — Olhei a documentação do 66751 que você Validou Analista, e vejo que há 3 perguntas"
0-0,80-189,0.911,other_document,EPRO15,-1,50,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Estruturação de Produto (EPRO15) — Olhei a documentação do 66751 que você Validou Analista, e vejo que há 3 perguntas"
0-0,947-1,0.911,other_document,,-1,29,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","EPRO111 — utilizar este modelo, perda do produto, duplicar ctrl"
0-1,0-2,0.944,same_record,EPRO15,-1,-1,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-1,0-0,0.913,same_record,EPRO15,-1,-1,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-1,607-4,0.903,other_document,ADMI34 ADMI35,-1,125,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","ADMI130 — região de vendas, pessoa cadastrada, forma rápida"
0-1,331-14,0.903,other_document,,-1,129,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Retorno Remessas (RECE7) — PROGRAMA ""POSIÇÃO REMESSA/RETORNO-TERC3"": A PARTIR DOS CAMPOS ""NRO NF"" E ""PEDIDO"", CRIAR…"
0-1,40-0,0.902,other_document,,-1,111,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ",Pedido de Venda (PEDI1) — PEDIDO DE VENDA - PEDI1
0-2,0-1,0.944,same_record,EPRO15,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-2,40-0,0.929,other_document,PEDI1,-1,111,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento",Pedido de Venda (PEDI1) — PEDIDO DE VENDA - PEDI1
0-2,0-0,0.926,same_record,EPRO15,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-2,0-3,0.914,same_record,,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar"
0-2,562-4,0.911,other_document,PEDI1,-1,111,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Vínculo Produto/Produto Cliente (EPRO32) — campos: Tipo Entrega, Dados Gerais, Entregas, Encaixotamento"
0-3,960-1,0.915,other_document,FATU2 PEDI4,-1,-1,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Emissão de OF (CFAB7) — marcada justificativa inserida, autorização foi enviado, relatório a partir"
0-3,0-2,0.914,same_record,,-1,-1,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-3,257-50,0.914,other_document,PEDI4,-1,138,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Liberação Pedidos Faturamento (PEDI4) — PROGRAMA LIBERAÇÃO PEDIDOS FATURAMENTO ¿ PEDI4, ABA ¿FATURAMENTO¿, CAMPOS ¿QTD VOLUME¿ E"
0-3,585-3,0.910,other_document,,-1,145,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","ESTÁ MOSTRANDO O RÓTULO FILHO Rotina (PEDI26) + PEDI62 — pedios para encaixotamento, distribuição pedidos relatório, pedi pegada"
0-3,258-8,0.910,other_document,,-1,145,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Liberação Pedidos Faturamento (PEDI44) — pedios para encaixotamento, distribuição pedidos relatório, pedi pegada"
1-0,798-0,0.878,other_document,,-1,8,"versões do produto, além de desenvolver, gestão empresarial",All sections to appear here FRETE CERTO
1-0,628-0,0.868,other_document,,-1,-1,"versões do produto, além de desenvolver, gestão empresarial",Apresentação Kunden Power Bi
1-0,250-28,0.862,other_document,,-1,-1,"versões do produto, além de desenvolver, gestão empresarial",Itens do programa Solicitação (ESTO36) — [10:37] Gabriela Prestes | Kunden Systems
1-0,838-17,0.860,other_document,,-1,2,"versões do produto, além de desenvolver, gestão empresarial","Ordens de Serviço (MIND22) — título da janela, painel lateral esquerdo, análise de crédito"
1-0,263-1,0.857,other_document,,-1,143,"versões do produto, além de desenvolver, gestão empresarial","FATU146 — configurações de notas, systems, ver o anexo"
1-1,990-7,0.907,other_document,,21,21,"tomadas de decisão, gestão da produção, dados em tempo",Usado para
1-1,14-42,0.907,other_document,,21,2,"tomadas de decisão, gestão da produção, dados em tempo","validação do fluxo, treinamento técnico operacional, rolos de tecido"
1-1,619-4,0.907,other_document,,21,21,"tomadas de decisão, gestão da produção, dados em tempo",Integrado diretamente com os módulos do Kunden ERP
1-1,14-48,0.906,other_document,,21,2,"tomadas de decisão, gestão da produção, dados em tempo","aptos a faturar, sku e lote, seleção para faturamento"
1-1,14-50,0.906,other_document,,21,2,"tomadas de decisão, gestão da produção, dados em tempo","infinity appliques, pedidos aptos, validação do fluxo"
2-0,517-0,0.926,other_document,ESTO112 PEDI1,15,15,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais","Programas (ADMI6) — compra de animais, abate, roberto frig senha"
2-0,2-1,0.919,same_topic,,15,15,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais","CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs"
2-0,483-0,0.917,other_document,,15,61,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais","EPRO58 — qtde de etiquetas, etiqueta primaria, informações nutricionais"
2-0,485-2,0.917,other_document,,15,15,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais","Frigorífico (RECE50) — suíno carcaça, produtor rural, contra nota"
2-0,506-1,0.910,other_document,,15,15,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais",Frigorífico (RECE50) — GERA CONTRA NOTA FISCAL DE ENTRADA - FRIGORÍFICO - USAR VALOR PELO PESO DO ABATE Rotina
2-1,2-2,0.931,same_topic,,15,15,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs","Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep"
2-1,517-0,0.930,other_document,,15,15,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs","Programas (ADMI6) — compra de animais, abate, roberto frig senha"
2-1,496-8,0.925,other_document,,15,61,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs","categoria produto condena, marca na etiqueta, faixa de peso"
2-1,952-2,0.923,other_document,,15,29,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs",Isso porque no cadastro destes produtos tem uma faixa
2-1,2-0,0.919,same_topic,,15,15,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs","Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais"
2-2,2-1,0.931,same_topic,,15,15,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep","CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs"
2-2,517-1,0.914,other_document,,15,15,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep","Indcadores (CPRO1) — Agora, para atender rotinas de Condenas, para CEP, laudos e Contranota"
2-2,952-2,0.914,other_document,,15,29,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep",Isso porque no cadastro destes produtos tem uma faixa
2-2,515-3,0.913,other_document,RECE50,15,15,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep","Configuração de Eventos (CPRO22) + Laudos Padrões (CPRO23) — campos: Laudo e Item Laudo, Item, Rodapé"
2-2,496-1,0.910,other_document,,15,-1,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep","indicador codigo condena, painel de abates, exibido os eventos"
2-3,485-10,0.915,other_document,RECE50,15,15,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise","Frigorífico (RECE50) — NOVO RELATÓRIO QUE GERE A DIFERENÇA DA NF LANÇADA PELA COOPERATIVA, COM A PESAGEM/ABATE…"
2-3,485-3,0.913,other_document,RECE50,15,15,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise","Frigorífico (RECE50) — configuração de eventos, documentos fiscais eletrônicos, contra nota"
