cluster_a,cluster_b,links,keywords_a,keywords_b
72,80,48,"ocorrida, sobre, situação","assunto, mail, marcio"
97,98,39,"compras, necessidades, mrp","suprimentos compras, compra alteração, compras compra"
29,30,38,"detalhamento teste, login, user","composto, documentação processos, transferência"
73,77,36,"relatório, fiscal, gera nota","conciliação estoque, ordens fabricação, relatório"
122,136,33,"abastecimento, ofs, materiais","abastecimento, suprimentos planejamento, materiais"
42,43,30,"conjunto, marca, embalagem","materiais, material, componente"
63,80,28,"preço, ecommerce, precisa habilitar","assunto, mail, marcio"
138,139,27,"plano mestre, mestre produção, planejamento","mestre produção, plano mestre, manufatura plano"
72,74,27,"ocorrida, sobre, situação","controle acesso, aplicar ajuste, aplicação participará"
99,122,26,"qtde, medição, metragem","abastecimento, ofs, materiais"
51,80,25,"medidora, barras, está lendo","assunto, mail, marcio"
57,58,23,"calculo, fpv, tarifas","preço venda, cálculo, fpv"
62,80,23,"carta correção, mail assunto, nfs","assunto, mail, marcio"
149,150,23,"faturamento, liberação, estabelecimento","faturamento, rota, liberação pedidos"
80,81,22,"assunto, mail, marcio","descritivos técnicos, doc, relatório emissões"
122,137,22,"abastecimento, ofs, materiais","centro custo, requisição, baixa"
123,124,22,"distribuição pedidos, entrega, vendas distribuição","distribuição pedidos, markup, pedidos venda"
131,132,22,"ivendre, ios, valor mínimo","android, app, ivendre"
43,44,21,"materiais, material, componente","engenharia, estruturação produto, desenvolvimento produto"
76,77,21,"rotativo inventario, liberar estoque, relatório posição","conciliação estoque, ordens fabricação, relatório"
27,29,21,"insumo, liq, prod","detalhamento teste, login, user"
39,80,19,"pegada, patchs, frigolaste","assunto, mail, marcio"
136,137,19,"abastecimento, suprimentos planejamento, materiais","centro custo, requisição, baixa"
13,14,18,"tag, obrig rejeição, chave acesso","alíquota, ibs, cbs"
127,133,18,"eficiência, eficiencia, recurso","planejamento, minutos, recurso"
139,140,18,"mestre produção, plano mestre, manufatura plano","plano mestre, mestre produção, relatório plano"
135,142,18,"remessa, industrialização, retorno","retorno remessa, recebimento, industrialização"
147,148,18,"recebimento notas, fiscal entrada, suprimentos recebimento","importação notas, xml, fiscais importação"
79,108,18,"email, envio, configuração","importação, edi, arquivo"
65,80,17,"ora, consolidar, bolsas operaciones","assunto, mail, marcio"
50,52,17,"custeio, couro, produto pronto","custeio, custo, mês"
20,119,17,"carteira, análise, relatório","processo, recurso, relatório"
56,58,17,"fpv, temporada, custo","preço venda, cálculo, fpv"
62,129,16,"carta correção, mail assunto, nfs","entrada, chave, nfs"
143,146,16,"monitor, danfe, fiscais","fiscais, notas, fiscal saída"
56,57,15,"fpv, temporada, custo","calculo, fpv, tarifas"
97,136,15,"compras, necessidades, mrp","abastecimento, suprimentos planejamento, materiais"
37,44,14,"grade, variação, tamanhos","engenharia, estruturação produto, desenvolvimento produto"
106,122,14,"medida, unidade, primária","abastecimento, ofs, materiais"
99,110,14,"qtde, medição, metragem","formula, tinta, acabamento"
119,120,14,"processo, recurso, relatório","cartão, emissão, componente"
100,101,14,"cri, inventariado, inventário","suprimentos estoque, estoque lançamentos, estoque produto"
122,135,14,"abastecimento, ofs, materiais","remessa, industrialização, retorno"
69,84,13,"select, tabela, empresa","sql, código, select"
88,98,13,"pré, recebimento, pre","suprimentos compras, compra alteração, compras compra"
54,55,13,"painel embalagem, embalagem web, web painel","painel, web, abate"
65,103,12,"ora, consolidar, bolsas operaciones","ora, mensagem, erro"
84,105,12,"sql, código, select","estoque, reserva, localização"
66,80,12,"link, http, kunden senha","assunto, mail, marcio"
74,75,12,"controle acesso, aplicar ajuste, aplicação participará","topificação utilizar, utilizar modelo, modelo topificação"
105,116,11,"estoque, reserva, localização","consignação, depósito, operação"
67,120,11,"etiqueta, emissão, unidade produto","cartão, emissão, componente"
67,69,11,"etiqueta, emissão, unidade produto","select, tabela, empresa"
12,14,11,"cbs, ibs, monofásica","alíquota, ibs, cbs"
90,119,11,"rendimento, custo, listar","processo, recurso, relatório"
56,80,11,"fpv, temporada, custo","assunto, mail, marcio"
111,133,11,"semi, acabado, ofs","planejamento, minutos, recurso"
85,86,11,"lotes, painel, fracionar","estoque futuro, localização, produção estoque"
38,43,10,"assunto alteração, alteração ficha, material","materiais, material, componente"
90,120,10,"rendimento, custo, listar","cartão, emissão, componente"
73,80,10,"relatório, fiscal, gera nota","assunto, mail, marcio"
26,29,10,"saldo saldo, alterado, prev","detalhamento teste, login, user"
73,81,10,"relatório, fiscal, gera nota","descritivos técnicos, doc, relatório emissões"
42,80,10,"conjunto, marca, embalagem","assunto, mail, marcio"
78,115,10,"plano produção, entrega, planos","planejamento, ofs, planos"
146,148,10,"fiscais, notas, fiscal saída","importação notas, xml, fiscais importação"
80,130,10,"assunto, mail, marcio","schneider, marcio, reni"
70,71,10,"rotulo, ler, caixa","impressora, navegador, impressão"
61,73,10,"relatório plano, plano mestre, mestre produção","relatório, fiscal, gera nota"
99,135,9,"qtde, medição, metragem","remessa, industrialização, retorno"
34,41,9,"corrugado, rótulos, encaixotamento","lote, balanceado, quantidade"
39,40,9,"pegada, patchs, frigolaste","aplicar regra, venda documentação, estrutura comercial"
107,112,9,"apontamento, web, coletores","apontamento, fábrica lançamentos, talão"
99,106,9,"qtde, medição, metragem","medida, unidade, primária"
