cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
0,17,"ção, ato, drawback, ções, concessório, exporta",,,,documentacao:17,1,1.0,0.958,"Ganhos com o Ato Concessório (CEXT61) — ato concess ório, regime de drawback, exporta ção"
1,16,"nao, dito, transcricao, deve, reuniao, importacao",,,,documentacao:16,2,0.94,0.945,"revisar a partir, necessidade de manter, entender o problema"
2,36,"revisão, painel, fracionamento, bônus, sistema, lotes",,,,documentacao:36,3,0.94,0.952,"gera e imprime, restringir o acesso, pallets por transportadora"
3,29,"evento, autor, leiaute, moc, crédito, web service",,,,documentacao:29,1,1.0,0.957,"débito na apuração, nota de crédito, autor do evento"
4,20,"pdv, caixa, kunden, balança, meat, house",,,,pedido:11 documentacao:7 email:2,3,0.65,0.946,Usuários (ADMI1) — Kunden PDV 1 Configurações Gerais
5,15,"reg, status notas, brancos, filler, notas identificador, versão preenchimento",,,,documentacao:15,5,0.47,0.956,"pontos e hífen, cobrança de conhecimento, posição status notas"
6,25,"user, senha, acesso base, login, desenv, base base",,,,documentacao:22 pedido:3,20,0.12,0.962,"desenv login user, acesso base, senha"
7,20,"gera emissão, emissão rótulo, rótulo unidade, unidade armazenamento, armazenamento pedidos, armazenamento padrão",,,,documentacao:20,1,1.0,0.97,Geração Rótulos para compostos de venda (FATU16) — 13 - Gera/Emissão Rótulo Unidade Armazenamento –NKS
8,16,"bloco, industrialização, compra, parâmetro, descrição, categoria produto",ESTO,0.36,ESTO:4 EPRO:2 RECE:2 TERC:2,pedido:13 email:2 documentacao:1,10,0.12,0.967,"Estruturação de Produto (EPRO15) — descrição de compra, configurado com atributo, gera bloco"
9,82,"doccob, transportadora, conemb, conhecimento, frete, xml",ADMI,1.0,ADMI:1,documentacao:76 pedido:3 email:3,13,0.22,0.943,"ADMI102 — nota fiscal base, rota tabela vigente, frete fatura atm"
10,26,"codex clipboard, png, tecnica, guilhermenoschang appdata, appdata local, print codex",,,,documentacao:25 pedido:1,2,0.96,0.969,"Nota Fiscal de Saída (FATU2) — users guilhermenoschang appdata, local temp codex-clipboard, handoff tecnico fretes"
