chunk_id,cluster,x,y,doc_name,record_type,module,title
0-0,-1,-2.641,11.598,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,EPRO,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-1,-1,2.826,12.457,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,ADMI,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-2,-1,-0.682,9.969,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,PEDI,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-3,-1,2.902,11.894,Documentação IA_Cadastro de Produto até Faturamento.pdf,documentacao,PEDI,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar"
1-0,-1,6.014,13.193,Kunden.docx,documentacao,,"versões do produto, além de desenvolver, gestão empresarial"
1-1,2,6.742,14.656,Kunden.docx,documentacao,,"tomadas de decisão, gestão da produção, dados em tempo"
2-0,11,4.960,10.521,Documentação frigorificos.docx,documentacao,,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais"
2-1,11,4.994,10.543,Documentação frigorificos.docx,documentacao,,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs"
2-2,11,4.993,10.583,Documentação frigorificos.docx,documentacao,,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep"
2-3,11,5.032,10.407,Documentação frigorificos.docx,documentacao,,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise"
2-4,-1,1.023,12.568,Documentação frigorificos.docx,documentacao,,"filtrado o plano, gera uma etiqueta, apontamento de embalagem"
2-5,92,0.743,10.250,Documentação frigorificos.docx,documentacao,,Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android
2-6,-1,2.728,10.622,Documentação frigorificos.docx,documentacao,,"Liberação Pedidos Faturamento por Rota (FATU153) — novamente a mensagem, média das peças, controle de expedição"
2-7,-1,1.669,10.619,Documentação frigorificos.docx,documentacao,,Pedidos de pronta entrega
2-8,-1,0.776,10.388,Documentação frigorificos.docx,documentacao,,"possui peso padrão, somando a quantidade, bacon"
2-9,-1,1.581,10.680,Documentação frigorificos.docx,pedido,,"estava reservado, cria os lotes, produtos de revenda"
2-10,46,1.865,11.127,Documentação frigorificos.docx,documentacao,,"necessidade de ler, passar no painel, lote a lote"
2-11,-1,1.643,10.585,Documentação frigorificos.docx,documentacao,,"Liberação Pedidos Faturamento por Rota (FATU153) — controla o estoque, temos uma rotina, venda destes produtos"
2-12,-1,3.102,10.054,Documentação frigorificos.docx,documentacao,,Estorno de NF Parâmetro 50138
3-0,116,2.581,11.133,Rotina Consignação.pdf,documentacao,,Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO
4-0,-1,1.904,12.322,Conferencia Pré Custeio Kunden.docx,documentacao,,"CONT80 — nível de estoque, detalhado por documento, balancete"
5-0,52,1.885,13.791,Rotina Custeio e Conferencias Pós Custeio Kunden.docx,documentacao,,"CONT40 — contabilizar, relatório do item, geração das tarifas"
6-0,52,1.854,13.712,Rotina Custeio Kunden.docx,documentacao,,"CONT59 — geração das tarifas, centros de custo, ste"
6-1,52,1.857,13.750,Rotina Custeio Kunden.docx,documentacao,,"CONT12 — conciliação do custeio, ste, sistema irá atualizar"
7-0,-1,2.942,12.482,teste_69828.docx,documentacao,,Remessa Industrialização (ESTO25) — ESSA É A ROTINA CERTO DE GERAÇÃO DO FCI ATRAVES DO esto71 BASE DESENVOVLIMENTO
9-0,116,2.674,11.133,"CONSIGNAÇÃO, Passo a Passo.pdf",documentacao,,"Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado"
9-1,116,2.752,11.095,"CONSIGNAÇÃO, Passo a Passo.pdf",documentacao,,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação"
