dropped_doc_id;dropped_doc;kept_doc_id;kept_doc
8;Manual Custeio 1.docx;5;Rotina Custeio e Conferencias Pós Custeio Kunden.docx
38;Manual iVendre - Funcionalidades - Terra & Água.pdf;600;Manual iVendre - Funcionalidades.pdf
50;Custeio Kunden (1).docx;6;Rotina Custeio Kunden.docx
55;iVendre B2B Documentação.docx;607;B2B Documentação Deise.pdf
58;Manual iVendre - Funcionalidades.docx;600;Manual iVendre - Funcionalidades.pdf
71;Rotina de Envio de Email, para Pedido de Compras (nova rotina).docx;698;Rotina de Envio de Email, para Pedido de Compras (nova rotina).pdf
76;VPS_Fluxo de Forração de Botões.docx;529;VPS_Fluxo de Forração de Botões.pdf
85;Procedimento_Operacional_EDI_Fretes_Kunden_ERP_COMPLETO.pdf;801;Procedimento_Operacional_EDI_Fretes_Kunden_ERP_por Guilherme.pdf
130;Rotina Beneficiamento recebendo uma nota triangular de um material para beneficiar, e posterior retorno.pdf;44;Beneficiamento com nota triangular.docx
179;Custeio_K11_documentação_Dass.pdf;178;Custeio_K11_documentação_Brisa.pdf
248;Rotina Terceirização entre as empresas do Grupo.pdf;246;Rotina para efetuar a gestão da terceirização_movimentação de materiais entre empresas do próprio grupo.pdf
371;Controle Armazenamento Rótulo.pdf;245;Rotina de Rotulos_Controle de caixas.pdf
479;Fluxo_Frigoríficos_Documentação frigorificos_Base_Val_Patch.pdf;2;Documentação frigorificos.docx
480;Fluxo_Resumo_Frigoríficos.pdf;2;Documentação frigorificos.docx
516;Rotina de Armazenamento_padrão Frigorificos.pdf;163;Consulta Local de Armazenagem - ESTO97.pdf
597;iVendre B2B Documentação_interna.pdf;607;B2B Documentação Deise.pdf
671;EDI_Padrão_Vale_Normas de EDI para a Empresa Calcadista.pdf;805;EDI_VALE_Normas de EDI para a Empresa Calcadista.pdf
774;Eventos.pdf;768;Calendario Recursos.pdf
800;Procedimento_Operacional_EDI_Fretes_Kunden_ERP_COMPLETO_por Guilherme.pdf;801;Procedimento_Operacional_EDI_Fretes_Kunden_ERP_por Guilherme.pdf
883;Duramas_210818_Treinamento dos Fluxos Duramas.pdf;875;2018_Treinamento Interno_Controle de Lote.pdf
900;Manual para implantação Arezzo.pdf;39;Manual para Integração Arezzo.pdf
962;Patch_Forms_Parte_01.pdf;916;THOMAS_EMANUEL_70pag_03.pdf
